x,y,z,name,state
49.96,25.73,33.81,SE-20_01-06F_b_012.jpg,1
49.94,25.83,30.32,SE-20_01-06F_b_013.jpg,1
49.91,25.93,26.83,SE-20_01-06F_b_014.jpg,1
49.91,23.43,26.83,SE-20_01-06F_b_015.jpg,1
49.94,23.33,30.32,SE-20_01-06F_b_016.jpg,1
49.29,23.33,33.51,SE-20_01-06F_b_017.jpg,1
50.23,23.33,36.72,SE-20_01-06F_b_018.jpg,1
49.59,23.33,39.91,SE-20_01-06F_b_019.jpg,1
49.61,23.43,43.4,SE-20_01-06F_b_020.jpg,1
49.37,23.73,47.46,SE-20_01-06F_b_021.jpg,1
49.55,21.13,47.08,SE-20_01-06F_b_022.jpg,1
49.61,21.03,43.4,SE-20_01-06F_b_023.jpg,1
49.68,21.03,39.72,SE-20_01-06F_b_024.jpg,1
50.23,20.93,36.72,SE-20_01-06F_b_025.jpg,1
50.13,20.93,33.43,SE-20_01-06F_b_026.jpg,1
50.02,21.03,30.13,SE-20_01-06F_b_027.jpg,1
49.91,21.03,26.83,SE-20_01-06F_b_028.jpg,1
49.91,18.63,26.83,SE-20_01-06F_b_029.jpg,1
50.02,18.53,30.13,SE-20_01-06F_b_030.jpg,1
50.13,18.53,33.43,SE-20_01-06F_b_031.jpg,1
49.49,18.53,36.62,SE-20_01-06F_b_032.jpg,1
49.59,18.63,39.91,SE-20_01-06F_b_033.jpg,1
49.7,18.63,43.21,SE-20_01-06F_b_034.jpg,1
49.55,18.63,47.08,SE-20_01-06F_b_035.jpg,1
49.63,16.23,46.89,SE-20_01-06F_b_036.jpg,1
49.7,16.33,43.21,SE-20_01-06F_b_037.jpg,1
49.68,16.33,39.72,SE-20_01-06F_b_038.jpg,1
49.57,16.33,36.42,SE-20_01-06F_b_039.jpg,1
50.13,16.33,33.43,SE-20_01-06F_b_040.jpg,1
50.02,16.33,30.13,SE-20_01-06F_b_041.jpg,1
50,16.33,26.64,SE-20_01-06F_b_042.jpg,1
50,13.83,26.64,SE-20_01-06F_b_043.jpg,1
50.02,13.93,30.13,SE-20_01-06F_b_044.jpg,1
50.13,14.03,33.43,SE-20_01-06F_b_045.jpg,1
50.23,14.03,36.72,SE-20_01-06F_b_046.jpg,1
49.68,13.93,39.72,SE-20_01-06F_b_047.jpg,1
49.7,13.93,43.21,SE-20_01-06F_b_048.jpg,1
49.63,13.73,46.89,SE-20_01-06F_b_049.jpg,1
49.55,11.23,47.08,SE-20_01-06F_b_050.jpg,1
50.27,11.53,43.7,SE-20_01-06F_b_051.jpg,1
50.26,11.63,40.21,SE-20_01-06F_b_052.jpg,1
49.49,11.53,36.62,SE-20_01-06F_b_053.jpg,1
50.13,11.63,33.43,SE-20_01-06F_b_054.jpg,1
50.02,11.53,30.13,SE-20_01-06F_b_055.jpg,1
46.35,10.83,25.92,SE-20_01-06F_b_056.jpg,1
49.91,8.83,26.83,SE-20_01-06F_b_057.jpg,1
49.94,9.03,30.32,SE-20_01-06F_b_058.jpg,1
50.05,9.23,33.62,SE-20_01-06F_b_059.jpg,1
50.15,9.23,36.91,SE-20_01-06F_b_060.jpg,1
50.17,9.13,40.4,SE-20_01-06F_b_061.jpg,1
50.18,8.93,43.89,SE-20_01-06F_b_062.jpg,1
49.95,8.53,47.95,SE-20_01-06F_b_063.jpg,1
49.85,5.83,48.15,SE-20_01-06F_b_064.jpg,1
50.01,6.33,44.27,SE-20_01-06F_b_065.jpg,1
56.19,8.63,39.41,SE-20_01-06F_b_066.jpg,1
50.06,6.73,37.11,SE-20_01-06F_b_067.jpg,1
49.96,6.73,33.81,SE-20_01-06F_b_068.jpg,1
49.94,6.53,30.32,SE-20_01-06F_b_069.jpg,1
49.91,6.33,26.83,SE-20_01-06F_b_070.jpg,1
49.91,3.53,26.83,SE-20_01-06F_b_071.jpg,1
46.02,2.13,30.17,SE-20_01-06F_b_072.jpg,1
49.87,4.03,34,SE-20_01-06F_b_073.jpg,1
54.91,6.33,36.97,SE-20_01-06F_b_074.jpg,1
56.11,6.63,39.61,SE-20_01-06F_b_075.jpg,1
55.38,5.93,42.98,SE-20_01-06F_b_076.jpg,1
55.31,5.33,46.67,SE-20_01-06F_b_077.jpg,1
