x,y,z,name,state
36.66,6.93,-0.27,SW-20_01-03F_j_034.jpg,1
39.34,6.83,-0.91,SW-20_01-03F_j_035.jpg,1
40,4.73,-0.61,SW-20_01-03F_j_036.jpg,1
36.74,4.93,-0.46,SW-20_01-03F_j_037.jpg,1
33.48,4.93,-0.3,SW-20_01-03F_j_038.jpg,1
30.4,5.03,-0.54,SW-20_01-03F_j_039.jpg,1
27.9,4.93,-0.28,SW-20_01-03F_j_040.jpg,1
22.79,2.53,9.25,SW-20_01-03F_j_041.jpg,1
20.13,3.43,4.56,SW-20_01-03F_j_042.jpg,1
21.81,2.53,-0.94,SW-20_01-03F_j_043.jpg,1
24.64,2.53,-0.12,SW-20_01-03F_j_044.jpg,1
27.55,2.53,0.49,SW-20_01-03F_j_045.jpg,1
30.72,2.53,0.53,SW-20_01-03F_j_046.jpg,1
33.58,2.83,-0.51,SW-20_01-03F_j_047.jpg,1
36.83,2.63,-0.65,SW-20_01-03F_j_048.jpg,1
40.17,2.53,-1,SW-20_01-03F_j_049.jpg,1
39.91,14.73,-0.42,SW-20_01-03F_k_001.jpg,1
43.08,14.83,-0.39,SW-20_01-03F_k_002.jpg,1
46.33,15.03,-0.53,SW-20_01-03F_k_003.jpg,1
49.6,15.23,-0.69,SW-20_01-03F_k_004.jpg,1
49.6,12.93,-0.69,SW-20_01-03F_k_005.jpg,1
46.25,12.83,-0.34,SW-20_01-03F_k_006.jpg,1
42.99,12.73,-0.19,SW-20_01-03F_k_007.jpg,1
39.82,12.73,-0.23,SW-20_01-03F_k_008.jpg,1
39.82,10.73,-0.23,SW-20_01-03F_k_009.jpg,1
42.99,10.73,-0.19,SW-20_01-03F_k_010.jpg,1
46.16,10.73,-0.15,SW-20_01-03F_k_011.jpg,1
49.6,10.73,-0.69,SW-20_01-03F_k_012.jpg,1
49.6,8.53,-0.69,SW-20_01-03F_k_013.jpg,1
45.59,8.63,-0.64,SW-20_01-03F_k_014.jpg,1
42.99,8.63,-0.19,SW-20_01-03F_k_015.jpg,1
39.91,8.73,-0.42,SW-20_01-03F_k_016.jpg,1
39.91,6.63,-0.42,SW-20_01-03F_k_017.jpg,1
49.05,3.43,19.95,SW-20_01-03F_k_018.jpg,1
45.67,6.53,-0.83,SW-20_01-03F_k_019.jpg,1
49.6,6.33,-0.69,SW-20_01-03F_k_020.jpg,1
49.6,3.93,-0.69,SW-20_01-03F_k_021.jpg,1
46.48,3.93,0.92,SW-20_01-03F_k_022.jpg,1
42.82,4.23,0.19,SW-20_01-03F_k_023.jpg,1
39.91,4.53,-0.42,SW-20_01-03F_k_024.jpg,1
39.91,2.33,-0.42,SW-20_01-03F_k_025.jpg,1
43.17,2.33,-0.58,SW-20_01-03F_k_026.jpg,1
45.94,2.33,-1.42,SW-20_01-03F_k_027.jpg,1
47.5,3.13,-4.88,SW-20_01-03F_k_028.jpg,1
22.31,41.33,-0.25,SW-20_04-09F_l_001.jpg,1
25.56,41.03,-0.4,SW-20_04-09F_l_002.jpg,1
29.39,40.73,-0.07,SW-20_04-09F_l_003.jpg,1
32.73,40.53,-0.41,SW-20_04-09F_l_004.jpg,1
35.91,40.43,-0.38,SW-20_04-09F_l_005.jpg,1
39.74,40.63,-0.03,SW-20_04-09F_l_006.jpg,1
42.91,40.83,0,SW-20_04-09F_l_007.jpg,1
46.33,40.93,-0.53,SW-20_04-09F_l_008.jpg,1
49.51,38.43,-0.5,SW-20_04-09F_l_010.jpg,1
46.25,38.13,-0.34,SW-20_04-09F_l_011.jpg,1
42.25,38.03,-0.3,SW-20_04-09F_l_012.jpg,1
39.08,37.83,-0.33,SW-20_04-09F_l_013.jpg,1
35.91,37.73,-0.38,SW-20_04-09F_l_014.jpg,1
32.64,37.83,-0.22,SW-20_04-09F_l_015.jpg,1
28.82,38.03,-0.56,SW-20_04-09F_l_016.jpg,1
25.56,38.23,-0.4,SW-20_04-09F_l_017.jpg,1
22.31,38.53,-0.25,SW-20_04-09F_l_018.jpg,1
22.31,35.73,-0.25,SW-20_04-09F_l_019.jpg,1
25.56,35.53,-0.4,SW-20_04-09F_l_020.jpg,1
28.82,35.43,-0.56,SW-20_04-09F_l_021.jpg,1
31.9,35.33,-0.33,SW-20_04-09F_l_022.jpg,1
35.82,35.23,-0.18,SW-20_04-09F_l_023.jpg,1
39.08,35.23,-0.33,SW-20_04-09F_l_024.jpg,1
44.47,37.33,10.68,SW-20_04-09F_l_025.jpg,1
45.5,35.53,-0.45,SW-20_04-09F_l_026.jpg,1
49.43,35.63,-0.3,SW-20_04-09F_l_027.jpg,1
48.76,33.03,-0.61,SW-20_04-09F_l_028.jpg,1
45.41,32.93,-0.26,SW-20_04-09F_l_029.jpg,1
42.25,32.83,-0.3,SW-20_04-09F_l_030.jpg,1
38.33,32.83,-0.44,SW-20_04-09F_l_031.jpg,1
35.15,32.83,-0.49,SW-20_04-09F_l_032.jpg,1
31.9,32.83,-0.33,SW-20_04-09F_l_033.jpg,1
28.73,32.93,-0.37,SW-20_04-09F_l_034.jpg,1
25.56,32.93,-0.4,SW-20_04-09F_l_035.jpg,1
22.31,33.03,-0.25,SW-20_04-09F_l_036.jpg,1
22.31,30.33,-0.25,SW-20_04-09F_l_037.jpg,1
25.56,30.33,-0.4,SW-20_04-09F_l_038.jpg,1
28.82,30.33,-0.56,SW-20_04-09F_l_039.jpg,1
31.98,30.33,-0.52,SW-20_04-09F_l_040.jpg,1
35.15,30.33,-0.49,SW-20_04-09F_l_041.jpg,1
38.33,30.33,-0.44,SW-20_04-09F_l_042.jpg,1
41.5,30.33,-0.4,SW-20_04-09F_l_043.jpg,1
45.33,30.43,-0.06,SW-20_04-09F_l_044.jpg,1
48.67,30.43,-0.41,SW-20_04-09F_l_045.jpg,1
48.67,27.83,-0.41,SW-20_04-09F_l_046.jpg,1
45.24,27.93,0.13,SW-20_04-09F_l_047.jpg,1
42.07,27.93,0.08,SW-20_04-09F_l_048.jpg,1
38.33,27.93,-0.44,SW-20_04-09F_l_049.jpg,1
35.15,27.93,-0.49,SW-20_04-09F_l_050.jpg,1
31.98,27.93,-0.52,SW-20_04-09F_l_051.jpg,1
28.73,27.93,-0.37,SW-20_04-09F_l_052.jpg,1
25.47,27.83,-0.21,SW-20_04-09F_l_053.jpg,1
22.39,27.83,-0.45,SW-20_04-09F_l_054.jpg,1
22.39,25.13,-0.45,SW-20_04-09F_l_055.jpg,1
25.47,25.33,-0.21,SW-20_04-09F_l_056.jpg,1
28.73,25.43,-0.37,SW-20_04-09F_l_057.jpg,1
31.98,25.43,-0.52,SW-20_04-09F_l_058.jpg,1
35.15,25.53,-0.49,SW-20_04-09F_l_059.jpg,1
38.33,25.53,-0.44,SW-20_04-09F_l_060.jpg,1
43.24,24.83,4.56,SW-20_04-09F_l_061.jpg,1
45.33,25.23,-0.06,SW-20_04-09F_l_062.jpg,1
49.34,25.23,-0.11,SW-20_04-09F_l_063.jpg,1
49.43,22.53,-0.3,SW-20_04-09F_l_064.jpg,1
45.5,22.73,-0.45,SW-20_04-09F_l_065.jpg,1
42.16,22.83,-0.11,SW-20_04-09F_l_066.jpg,1
39.08,22.93,-0.33,SW-20_04-09F_l_067.jpg,1
35.24,22.93,-0.68,SW-20_04-09F_l_068.jpg,1
32.07,22.93,-0.71,SW-20_04-09F_l_069.jpg,1
28.82,22.93,-0.56,SW-20_04-09F_l_070.jpg,1
25.56,22.73,-0.4,SW-20_04-09F_l_071.jpg,1
22.48,22.53,-0.64,SW-20_04-09F_l_072.jpg,1
22.48,19.83,-0.64,SW-20_04-09F_l_073.jpg,1
25.47,19.93,-0.21,SW-20_04-09F_l_074.jpg,1
28.9,20.33,-0.75,SW-20_04-09F_l_075.jpg,1
32.73,20.43,-0.41,SW-20_04-09F_l_076.jpg,1
35.91,20.43,-0.38,SW-20_04-09F_l_077.jpg,1
39.08,20.33,-0.33,SW-20_04-09F_l_078.jpg,1
42.25,20.23,-0.3,SW-20_04-09F_l_079.jpg,1
46.16,19.93,-0.15,SW-20_04-09F_l_080.jpg,1
75.42,3.93,55.06,SW-20_04-09F_l_081.jpg,1
69.3,2.33,38.61,SW-20_04-09F_l_082.jpg,1
46.83,17.03,0.15,SW-20_04-09F_l_083.jpg,1
43.08,17.53,-0.39,SW-20_04-09F_l_084.jpg,1
39.74,17.63,-0.03,SW-20_04-09F_l_085.jpg,1
35.82,17.63,-0.18,SW-20_04-09F_l_086.jpg,1
32.73,17.73,-0.41,SW-20_04-09F_l_087.jpg,1
29.56,17.63,-0.46,SW-20_04-09F_l_088.jpg,1
25.73,17.33,-0.79,SW-20_04-09F_l_089.jpg,1
22.48,16.93,-0.64,SW-20_04-09F_l_090.jpg,1
22.48,14.03,-0.64,SW-20_04-09F_l_091.jpg,1
25.73,14.43,-0.79,SW-20_04-09F_l_092.jpg,1
29.56,14.73,-0.46,SW-20_04-09F_l_093.jpg,1
32.82,14.93,-0.6,SW-20_04-09F_l_094.jpg,1
36.66,14.93,-0.27,SW-20_04-09F_l_095.jpg,1
39.82,14.73,-0.23,SW-20_04-09F_l_096.jpg,1
43.75,14.43,-0.08,SW-20_04-09F_l_097.jpg,1
47.66,13.93,0.07,SW-20_04-09F_l_098.jpg,1
65.76,0.73,27.03,SW-20_04-09F_l_099.jpg,1
0.95,41.03,-0.62,SW-20_04-09F_m_001.jpg,1
4.2,40.63,-0.77,SW-20_04-09F_m_002.jpg,1
7.38,40.33,-0.73,SW-20_04-09F_m_003.jpg,1
11.21,40.23,-0.39,SW-20_04-09F_m_004.jpg,1
14.12,40.43,0.23,SW-20_04-09F_m_005.jpg,1
17.37,40.53,0.07,SW-20_04-09F_m_006.jpg,1
20.63,40.53,-0.09,SW-20_04-09F_m_007.jpg,1
23.88,40.73,-0.23,SW-20_04-09F_m_008.jpg,1
23.8,38.13,-0.04,SW-20_04-09F_m_009.jpg,1
19.97,37.93,-0.38,SW-20_04-09F_m_010.jpg,1
16.8,37.83,-0.42,SW-20_04-09F_m_011.jpg,1
13.63,37.73,-0.46,SW-20_04-09F_m_012.jpg,1
10.45,37.83,-0.5,SW-20_04-09F_m_013.jpg,1
7.29,37.83,-0.54,SW-20_04-09F_m_014.jpg,1
4.03,38.13,-0.38,SW-20_04-09F_m_015.jpg,1
0.95,38.43,-0.62,SW-20_04-09F_m_016.jpg,1
0.95,35.83,-0.62,SW-20_04-09F_m_017.jpg,1
4.12,35.63,-0.57,SW-20_04-09F_m_018.jpg,1
7.29,35.43,-0.54,SW-20_04-09F_m_019.jpg,1
10.45,35.43,-0.5,SW-20_04-09F_m_020.jpg,1
13.54,35.33,-0.27,SW-20_04-09F_m_021.jpg,1
16.71,35.43,-0.23,SW-20_04-09F_m_022.jpg,1
21.28,36.53,5.54,SW-20_04-09F_m_023.jpg,1
23.14,35.63,-0.34,SW-20_04-09F_m_024.jpg,1
23.05,33.23,-0.15,SW-20_04-09F_m_025.jpg,1
19.88,33.13,-0.18,SW-20_04-09F_m_026.jpg,1
16.71,33.13,-0.23,SW-20_04-09F_m_027.jpg,1
13.54,33.03,-0.27,SW-20_04-09F_m_028.jpg,1
10.45,33.03,-0.5,SW-20_04-09F_m_029.jpg,1
7.29,33.03,-0.54,SW-20_04-09F_m_030.jpg,1
3.94,33.23,-0.19,SW-20_04-09F_m_031.jpg,1
0.86,33.33,-0.43,SW-20_04-09F_m_032.jpg,1
